Symbol
MSFT
AAPL
NVDA
AMZN
META
GOOGL
GOOG
BRK-B
LLY
AVGO
TSLA
JPM
UNH
V
XOM
JNJ
MA
PG
HD
COST
MRK
ABBV
CRM
ADBE
AMD
CVX
NFLX
WMT
PEP
KO
BAC
ACN
TMO
MCD
LIN
CSCO
DIS
ABT
INTC
INTU
ORCL
WFC
CMCSA
QCOM
IBM
VZ
CAT
DHR
NOW
AMGN
PFE
AMAT
GE
UNP
TXN
UBER
PM
SPGI
ISRG
LOW
BKNG
COP
NKE
RTX
HON
GS
AXP
PLD
T
LRCX
BA
ELV
NEE
PANW
SYK
MDT
TJX
BLK
MS
ETN
SBUX
VRTX
PGR
UPS
DE
C
ADP
BMY
REGN
CB
MDLZ
CVS
CI
MMC
ADI
SCHW
BSX
LMT
MU
GILD
BX
ZTS
AMT
KLAC
FI
SNPS
CDNS
TMUS
EQIX
ICE
SO
CME
SHW
CSX
MO
CMG
DUK
BDX
ANET
ITW
WM
TGT
CL
SLB
ABNB
PH
MCK
EOG
PYPL
MPC
NOC
USB
PSX
MCO
APH
TT
AON
HCA
MAR
TDG
NXPI
GD
ORLY
EMR
PNC
ROP
NSC
FDX
ADSK
PCAR
FCX
GM
LULU
PXD
MSI
CTAS
EW
COF
MMM
ECL
F
AJG
HLT
APD
ROST
TRV
AIG
VLO
WELL
TFC
AZO
SPG
IDXX
CARR
CCI
MSCI
DXCM
NUE
HUM
MCHP
URI
FTNT
DHI
PSA
TEL
SRE
CPRT
O
DLR
BK
MET
WMB
GWW
AFL
ALL
CNC
MNST
CEG
OKE
AEP
KMB
SYY
AMP
FAST
LHX
STZ
IQV
HES
LEN
PAYX
AME
CTVA
NEM
A
PRU
DOW
ODFL
CTSH
COR
OXY
D
JCI
OTIS
FIS
YUM
GIS
CMI
GPN
VRSK
BIIB
RSG
IT
MPWR
ON
IR
PCG
EXC
EL
CSGP
EA
KVUE
PPG
MLM
GEHC
KMI
CDW
XEL
ROK
FICO
VMC
KDP
EFX
HAL
ACGL
PWR
VICI
ED
WST
EXR
KR
CHTR
DG
DLTR
FANG
BKR
PEG
XYL
MRNA
DD
ANSS
FTV
HSY
KHC
ADM
KEYS
WTW
DFS
RCL
HIG
DVN
CBRE
RMD
ZBH
DAL
ULTA
MTD
CAH
TSCO
EIX
HPQ
GLW
WAB
TROW
TTWO
LYB
WY
WEC
AVB
NVR
CHD
AWK
APTV
BR
FITB
SBAC
BLDR
HWM
MOH
PHM
STT
MTB
DOV
EBAY
STE
WBD
ILMN
RJF
DTE
ALGN
PTC
ETR
IFF
BAX
GPC
EQR
LVS
TDY
IRM
HPE
DRI
TRGP
FLT
FE
LUV
CBOE
ES
PPL
AKAM
LH
HUBB
NDAQ
BRO
CLX
BALL
WAT
INVH
GRMN
NTAP
STLD
AXON
COO
CTRA
ARE
EXPD
WDC
J
VLTO
VTR
HOLX
HBAN
TYL
JBL
AEE
FDS
EXPE
JBHT
ENPH
CNP
VRSN
CINF
PFG
STX
RF
TXT
OMC
IEX
ATO
SWKS
NTRS
FSLR
AVY
EPAM
CMS
MKC
MAS
WRB
SYF
WBA
TER
LDOS
CCL
EG
POOL
CE
PKG
CF
CFG
TSN
DPZ
ESS
BBY
MAA
LW
DGX
K
EQT
VTRS
NDSN
SNA
ALB
UAL
SWK
HST
TRMB
PODD
L
ZBRA
SJM
AMCR
MRO
KEY
CAG
LKQ
BG
RVTY
MGM
JKHY
LYV
PNR
GEN
IPG
IP
ROL
LNT
KMX
KIM
TFX
JNPR
ALLE
NRG
TAP
CRL
EVRG
AES
DAY
QRVO
FFIV
TECH
HII
WRK
GL
UDR
INCY
BF-B
NI
CTLT
BBWI
WYNN
CPT
MTCH
UHS
MOS
REG
AOS
TPR
EMN
NWSA
HSIC
AAL
CZR
PEAK
ETSY
APA
PAYC
BXP
AIZ
CHRW
RHI
HRL
MKTX
CPB
GNRC
BEN
PNW
BWA
FOXA
FRT
IVZ
XRAY
RL
CMA
NCLH
BIO
FMC
HAS
PARA
DVA
ZION
WHR
MHK
VFC
FOX
NWS
